Nhân sự / Thành viên,,,,,,,,,,,
,,,,,,,,,,,
STT,Sở trường công việc,Task online tích lũy,,,,,,,,,
,,Tuần 1,Tuần 2,Tuần 3,Tuần 4,Tuần 5,Tuần 6,Tuần 7,Tuần 8,Tổng task,Quy đổi số buổi offline
1,"Chụp ảnh, quay vid tại địa phương",,,,,,,,,0,0
2,"Chụp ảnh, quay vid tại địa phương",2,0,0,1,3,3,3,2,14,7
3,"Chụp ảnh, quay vid tại địa phương",0,1,2,2,1,3,0,0,9,4.5
4,"Chụp ảnh, quay vid tại địa phương",0,1,0,3,0,1,1,3,9,4.5
5,"Chụp ảnh, quay vid tại địa phương",0,1,0,2,3,3,1,0,10,5
6,"Chụp ảnh, quay vid tại địa phương",0,1,0,3,1,3,1,2,11,5.5
7,"Chụp ảnh, quay vid tại địa phương",0,1,0,0,2,3,3,0,9,4.5
8,"Chụp ảnh, quay vid tại địa phương",0,1,0,3,3,3,0,0,10,5
9,"Chụp ảnh, quay vid tại địa phương",0,3,1,0,0,2,2,3,11,5.5
10,"Editor, viết cap",0,3,2,1,1,0,2,0,9,4.5
11,"Editor, viết cap",2,0,2,1,2,0,3,1,11,5.5
13,"Editor, viết cap",2,0,1,0,3,0,1,1,8,4
12,"Editor, viết cap",0,1,2,3,3,1,3,3,16,8
14,"Editor, viết cap",0,3,0,2,2,2,0,2,11,5.5
15,"Editor, viết cap",0,0,1,2,2,2,2,2,11,5.5
